iter	RMSE
844	0.2474042585
845	0.2472389146
846	0.2471723368
847	0.2470503342
848	0.2469145675
849	0.2467558363
850	0.246533637
851	0.2464229404
852	0.2463843777
853	0.2462890689
854	0.2461444658
855	0.2460064518
856	0.2458395397
857	0.2455809967
858	0.2453935052
859	0.2452548781
860	0.2451395827
861	0.2449944515
862	0.2446923992
863	0.2446093795
864	0.2444528425
865	0.2442158261
866	0.2441334342
867	0.2439517053
868	0.2438532463
869	0.2437364326
870	0.2435231459
871	0.2434090941
872	0.2432047367
873	0.2429313859
874	0.2427885598
875	0.2426061466
876	0.2424140032
877	0.2422468431
878	0.2420471271
879	0.2419146354
880	0.2418153644
881	0.2415692202
882	0.2412878803
883	0.2411526158
884	0.2409926232
885	0.2409148922
886	0.2407550318
887	0.2405136042
888	0.2403690895
889	0.2401653839
890	0.2399367196
891	0.2397319189
892	0.2396360914
893	0.2394618892
894	0.2394125138
895	0.2393322529
896	0.2391070372
897	0.2388405718
898	0.2387868601
899	0.2385310622
900	0.238434729
901	0.2380219308
902	0.2379175004
903	0.2378055109
904	0.2376687734
905	0.2376199923
906	0.2375216407
907	0.2372398178
908	0.2371139521
909	0.2369522336
910	0.2368604457
911	0.2367483619
912	0.2365041396
913	0.2363814358
914	0.2362612867
915	0.236145881
916	0.236087854
917	0.2358596583
918	0.2357759007
919	0.2356130772
920	0.2355137429
921	0.2354328817
922	0.235316576
923	0.2352165555
924	0.235115638
925	0.2349058306
926	0.2348014538
927	0.2347294724
928	0.234658897
929	0.2345380324
930	0.2344431295
931	0.2343005848
932	0.2342599071
933	0.2340841476
934	0.2339548619
935	0.2337292041
936	0.2336008093
937	0.2334392882
938	0.2333114489
939	0.2332389931
940	0.2331378947
941	0.232970323
942	0.23279149
943	0.2326181478
944	0.2324467317
945	0.2323743229
946	0.2321997629
947	0.2321196963
948	0.2319277125
949	0.2317365998
950	0.2316305609
951	0.2314445975
952	0.2313726639
953	0.2311956698
954	0.2311085157
955	0.2309658306
956	0.230871202
957	0.2307984764
958	0.2307370106
959	0.2305659031
960	0.2304278704
961	0.2302278373
962	0.2301188219
963	0.2300327836
964	0.2299966715
965	0.229771186
966	0.2296399272
967	0.2295008217
968	0.2294385991
969	0.229260443
970	0.229170683
971	0.2290798095
972	0.2290451658
973	0.2288749966
974	0.2287939478
975	0.2286850788
976	0.2286140536
977	0.228490769
978	0.2283774855
979	0.2282859356
980	0.2281398922
981	0.2279579772
982	0.2277247453
983	0.2275676781
984	0.2274879309
985	0.2273725452
986	0.227218138
987	0.2269941012
988	0.2267684119
989	0.2267376544
990	0.2266010601
991	0.2264378918
992	0.2262074135
993	0.226131086
994	0.2260443024
